measurement_id,city_id,city_name,longitude,latitude,weather_id,weather_main,weather_description,weather_icon,base,temperature,feels_like,temp_min,temp_max,pressure,humidity,visibility,wind_speed,wind_deg,clouds_all,dt,sys_type,sys_id,sys_country,sys_sunrise,sys_sunset,timezone,cod
85,3173435,Milan,9.1895,45.4643,800,Clear,clear sky,01n,stations,17.45,16.95,15.37,18.86,1018,65,10000,4.12,290,0,2024-03-21 18:48:09,2,2012644,IT,2024-03-21 05:23:57,2024-03-21 17:36:39,3600,200
86,3181927,Bologna,11.4333,44.4667,800,Clear,clear sky,01n,stations,16.39,15.91,14.65,16.85,1018,70,10000,3.09,30,0,2024-03-21 18:40:24,2,2004497,IT,2024-03-21 05:15:07,2024-03-21 17:27:32,3600,200
87,2525471,Provincia di Cagliari,9.0912,39.245,800,Clear,clear sky,01n,stations,15.16,14.82,14.88,16.08,1021,80,10000,3.6,160,0,2024-03-21 18:45:51,1,6720,IT,2024-03-21 05:25:06,2024-03-21 17:36:17,3600,200
88,727011,Sofia,23.3242,42.6975,801,Clouds,few clouds,02n,stations,10.83,8.8,8.36,10.83,1017,32,10000,4.12,280,13,2024-03-21 18:45:10,1,6366,BG,2024-03-21 04:27:50,2024-03-21 16:39:42,7200,200
89,728193,Plovdiv,24.75,42.15,803,Clouds,broken clouds,04n,stations,10.04,8.72,10.04,10.17,1016,62,10000,4.12,100,75,2024-03-21 18:39:06,1,6363,BG,2024-03-21 04:22:13,2024-03-21 16:33:56,7200,200
90,3173435,Milan,9.1895,45.4643,800,Clear,clear sky,01n,stations,17.45,16.97,15.37,18.86,1018,66,10000,4.12,290,0,2024-03-21 18:53:15,2,2012644,IT,2024-03-21 05:23:57,2024-03-21 17:36:39,3600,200
91,3181927,Bologna,11.4333,44.4667,804,Clouds,overcast clouds,04n,stations,16.1,15.72,14.09,16.6,1019,75,8000,3.09,60,100,2024-03-21 19:03:01,2,2004497,IT,2024-03-21 05:15:07,2024-03-21 17:27:32,3600,200
92,2525471,Provincia di Cagliari,9.0912,39.245,800,Clear,clear sky,01n,stations,15.27,14.99,14.88,15.51,1021,82,10000,2.57,170,0,2024-03-21 19:06:02,1,6720,IT,2024-03-21 05:25:06,2024-03-21 17:36:17,3600,200
93,727011,Sofia,23.3242,42.6975,801,Clouds,few clouds,02n,stations,10.83,8.8,8.36,10.83,1017,32,10000,4.12,280,13,2024-03-21 18:57:24,1,6366,BG,2024-03-21 04:27:50,2024-03-21 16:39:42,7200,200
94,728193,Plovdiv,24.75,42.15,801,Clouds,few clouds,02n,stations,8.04,5.53,8.04,9.17,1016,71,10000,4.12,100,20,2024-03-21 19:06:03,1,6363,BG,2024-03-21 04:22:13,2024-03-21 16:33:56,7200,200
